,log_return,rv_5d,rv_22d,vix_close
count,5446.0,5446.0,5446.0,5446.0
mean,0.0003269582438123797,0.148084975910467,0.15618300850819225,19.020903416079193
std,0.011963883846619288,0.11898642280581857,0.10809884608485527,8.553782679827481
min,-0.12765219747281742,0.009670722410457196,0.037155439220288286,9.140000343322754
25%,-0.004075259238508517,0.07851048251214834,0.09462272921169369,13.449999809265137
50%,0.000723759312744133,0.11842421912790294,0.12608532893726565,16.59000015258789
75%,0.0056651595580531925,0.17622839204564136,0.18160949420401884,21.86500072479248
max,0.10957196759533848,1.4268331222172523,0.9354839337697366,82.69000244140625
