,GARCH,EGARCH,GJR-GARCH,HAR-RV,LightGBM,XGBoost,Ensemble,actual
2022-01-03,0.14238075619988175,0.1541945374550238,0.12482979119747903,0.13090469355166007,0.12612115651880845,0.12710816,0.1331355354234501,0.14258475057137224
2022-01-04,0.1384794198718577,0.15222945260375548,0.1196004411671825,0.10167817375842154,0.10902930893346414,0.1262821,0.11639563418791447,0.15652742059814256
2022-01-05,0.13023100213028618,0.13959994064687503,0.11451350483928857,0.09382282427560969,0.16250576380320525,0.15239827,0.12885319673636705,0.07464085950117058
2022-01-06,0.1655575400070013,0.16851669789709148,0.17850465614773767,0.1355278843206507,0.16553444585250196,0.15374362,0.15553995672671797,0.12608389998226374
2022-01-07,0.15480276366164972,0.1545696268626107,0.16840356116134214,0.1365849208775074,0.14751399184063216,0.1320728,0.1463005587932631,0.12288561274337705
2022-01-10,0.14676573527836043,0.14809311219425977,0.16163301245035236,0.13939759157871287,0.17230911104387878,0.16349936,0.15282414596698402,0.1798773455345848
2022-01-11,0.1379135408052021,0.13744667736599905,0.153119026509352,0.1408551937893389,0.14619263594537252,0.15905333,0.14165379017997118,0.18150377879553048
2022-01-12,0.13960852080276523,0.14316930717040224,0.14570110629050137,0.15215393994606394,0.12945452354641115,0.14946865,0.1404056614317468,0.19685771598024332
2022-01-13,0.13216894159518253,0.13567210686346445,0.13825576611266746,0.11210628144007513,0.1412552268247749,0.13540591,0.1285101499533442,0.21623811843943475
2022-01-14,0.14873396473959943,0.15296775514861438,0.1670013807682493,0.13300120089529543,0.17356040973271328,0.15594105,0.1517651917892027,0.2170511314399093
2022-01-18,0.1395292600061439,0.14060027632369546,0.1576985389538552,0.13022981968579556,0.1707724133308398,0.17424606,0.1468438310075931,0.19315884253338997
2022-01-19,0.16816862639583985,0.16690078989532117,0.20008796403736404,0.15700156977617424,0.22359518534451645,0.24707703,0.18292179383884352,0.18067988991194986
2022-01-20,0.16650742527968915,0.17012710451171809,0.20072188833122154,0.15908951270237598,0.3376130369640367,0.28208765,0.2210699916487006,0.16705019292215537
2022-01-21,0.1678279180926241,0.17572800414381443,0.20487754272768577,0.17234280039843705,0.3238953461658089,0.33194053,0.22135535488562333,0.1967053830506349
2022-01-24,0.1905587342434621,0.19780209625294576,0.23644201933182343,0.18571262719575293,0.39947260212402613,0.38591444,0.258581321187747,0.2365370610887132
2022-01-25,0.1781467220470598,0.18360193270938666,0.22173766633516176,0.1910734408879052,0.2954245670396803,0.2963606,0.22154824332488177,0.2252743478188744
2022-01-26,0.18009162850345034,0.18978207034256667,0.22594986692334257,0.18141780213899858,0.3326382385612457,0.32355103,0.2313825564012315,0.234666512717277
2022-01-27,0.16813527473366988,0.17422997554290173,0.2122710647430765,0.17593021087911642,0.2839312483686879,0.27194428,0.20933224466049138,0.29039926873671296
2022-01-28,0.16000616590227973,0.16793151376732215,0.20310806123447708,0.16828447850792722,0.2128941657800659,0.23342213,0.1803949367300909,0.23769567559369398
