,MSE,MAE,RMSE,QLIKE,R2,MZ_R2,N
GARCH,0.00634025933177448,0.05230636426669932,0.07962574540796764,0.38056125841941085,0.22431060022092497,0.2835263479117607,980.0
EGARCH,0.005908183869304521,0.051983779589321995,0.07686471146959781,0.3747862609812006,0.2771722165373016,0.30974020327188556,980.0
GJR-GARCH,0.005385543876751028,0.0489293468483658,0.0733862649053011,0.3447175500684303,0.3411138127576089,0.3802296874332945,980.0
HAR-RV,0.006065284217099508,0.050695566015976405,0.07787993462439159,0.41978193945522374,0.2579520130551718,0.2894625693938879,980.0
LightGBM,0.00549866462742883,0.04763560415471463,0.07415298124437635,0.3632246332457968,0.3272742262984121,0.37537280161402553,980.0
XGBoost,0.005555988795201762,0.04700221085120692,0.07453850545323377,0.3553404023189438,0.3202609880433491,0.36380247483782896,980.0
Ensemble,0.005446266632150295,0.047459922570477,0.07379882541172518,0.34311517747582676,0.3336847794604163,0.35149850416517714,980.0
